Overlap Period,Deeper Drawdown,Deeper Drawdown (%),Deeper Recovery Time (Days),Shallower Drawdown,Shallower Drawdown (%),Shallower Recovery Time (Days)
2015-08-20 to 2016-06-01,Benchmark,-22.52,740,Portfolio,-17.73,286
2016-09-09 to 2017-01-31,Benchmark,-22.52,740,Portfolio,-14.26,144
2018-01-30 to 2018-07-23,Portfolio,-10.23,194,Benchmark,-10.17,174
2018-09-03 to 2019-03-28,Benchmark,-14.55,229,Portfolio,-13.88,206
2019-06-04 to 2019-10-17,Portfolio,-12.22,135,Benchmark,-11.45,175
2020-02-20 to 2020-11-04,Benchmark,-38.44,296,Portfolio,-37.54,258
2021-10-19 to 2022-11-23,Portfolio,-19.29,618,Benchmark,-17.23,400
2024-09-30 to 2025-10-09,Portfolio,-18.13,374,Benchmark,-15.77,377
